star_rating,helpful_votes,total_votes,sentiment_label,dataset_source,sentiment_encoded,star_rating_std,helpful_votes_std,total_votes_std,is_grocery,is_books
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,1,2,positive,ebook,1,0.45256963785525184,0.04237180999014868,0.17255444542245346,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,1,1,positive,ebook,1,0.45256963785525184,0.04237180999014868,-0.06821919935306303,0,0
1,1,2,positive,ebook,1,0.45256963785525184,0.04237180999014868,0.17255444542245346,0,0
0,1,2,negative,ebook,0,-2.2096047024697585,0.04237180999014868,0.17255444542245346,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,1,2,positive,ebook,1,0.45256963785525184,0.04237180999014868,0.17255444542245346,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
0,0,0,negative,ebook,0,-2.2096047024697585,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
0,36,47,negative,ebook,0,-2.2096047024697585,11.45016680733787,11.007368460320697,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
0,0,1,negative,ebook,0,-2.2096047024697585,-0.2835651899340719,-0.06821919935306303,0,0
1,2,2,positive,ebook,1,0.45256963785525184,0.36830880991436926,0.17255444542245346,0,0
1,8,8,positive,ebook,1,0.45256963785525184,2.323930809459693,1.6171963140755525,0,0
1,0,1,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.06821919935306303,0,0
1,1,1,positive,ebook,1,0.45256963785525184,0.04237180999014868,-0.06821919935306303,0,0
1,1,3,positive,ebook,1,0.45256963785525184,0.04237180999014868,0.41332809019796996,0,0
0,16,26,negative,ebook,0,-2.2096047024697585,4.931426808853458,5.951121920034849,0,0
1,5,5,positive,ebook,1,0.45256963785525184,1.346119809687031,0.894875379749003,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,2,positive,ebook,1,0.45256963785525184,-0.2835651899340719,0.17255444542245346,0,0
1,5,6,positive,ebook,1,0.45256963785525184,1.346119809687031,1.1356490245245194,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
0,0,0,negative,ebook,0,-2.2096047024697585,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
0,0,0,negative,ebook,0,-2.2096047024697585,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
0,0,0,negative,ebook,0,-2.2096047024697585,-0.2835651899340719,-0.3089928441285795,0,0
0,3,5,negative,ebook,0,-2.2096047024697585,0.6942458098385899,0.894875379749003,0,0
0,3,3,negative,ebook,0,-2.2096047024697585,0.6942458098385899,0.41332809019796996,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
0,0,2,negative,ebook,0,-2.2096047024697585,-0.2835651899340719,0.17255444542245346,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,1,1,positive,ebook,1,0.45256963785525184,0.04237180999014868,-0.06821919935306303,0,0
1,3,3,positive,ebook,1,0.45256963785525184,0.6942458098385899,0.41332809019796996,0,0
0,2,4,negative,ebook,0,-2.2096047024697585,0.36830880991436926,0.6541017349734866,0,0
1,1,1,positive,ebook,1,0.45256963785525184,0.04237180999014868,-0.06821919935306303,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
0,1,2,negative,ebook,0,-2.2096047024697585,0.04237180999014868,0.17255444542245346,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,1,1,positive,ebook,1,0.45256963785525184,0.04237180999014868,-0.06821919935306303,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,1,1,positive,ebook,1,0.45256963785525184,0.04237180999014868,-0.06821919935306303,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
0,0,0,negative,ebook,0,-2.2096047024697585,-0.2835651899340719,-0.3089928441285795,0,0
1,0,1,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.06821919935306303,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,1,1,positive,ebook,1,0.45256963785525184,0.04237180999014868,-0.06821919935306303,0,0
1,1,1,positive,ebook,1,0.45256963785525184,0.04237180999014868,-0.06821919935306303,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
0,1,8,negative,ebook,0,-2.2096047024697585,0.04237180999014868,1.6171963140755525,0,0
1,3,4,positive,ebook,1,0.45256963785525184,0.6942458098385899,0.6541017349734866,0,0
1,0,2,positive,ebook,1,0.45256963785525184,-0.2835651899340719,0.17255444542245346,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,1,1,positive,ebook,1,0.45256963785525184,0.04237180999014868,-0.06821919935306303,0,0
1,1,1,positive,ebook,1,0.45256963785525184,0.04237180999014868,-0.06821919935306303,0,0
1,0,2,positive,ebook,1,0.45256963785525184,-0.2835651899340719,0.17255444542245346,0,0
1,2,2,positive,ebook,1,0.45256963785525184,0.36830880991436926,0.17255444542245346,0,0
1,12,12,positive,ebook,1,0.45256963785525184,3.627678809156576,2.5802908931776183,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,1,1,positive,ebook,1,0.45256963785525184,0.04237180999014868,-0.06821919935306303,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
0,0,0,negative,ebook,0,-2.2096047024697585,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,1,1,positive,ebook,1,0.45256963785525184,0.04237180999014868,-0.06821919935306303,0,0
0,8,11,negative,ebook,0,-2.2096047024697585,2.323930809459693,2.339517248402102,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,28,36,positive,ebook,1,0.45256963785525184,8.842670807944105,8.358858367790015,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
0,0,0,negative,ebook,0,-2.2096047024697585,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,2,3,positive,ebook,1,0.45256963785525184,0.36830880991436926,0.41332809019796996,0,0
1,1,1,positive,ebook,1,0.45256963785525184,0.04237180999014868,-0.06821919935306303,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,ebook,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,0,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
0,1,1,negative,grocery,0,-2.2096047024697585,0.04237180999014868,-0.06821919935306303,1,0
1,1,1,positive,grocery,1,0.45256963785525184,0.04237180999014868,-0.06821919935306303,1,0
1,2,2,positive,grocery,1,0.45256963785525184,0.36830880991436926,0.17255444542245346,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
0,1,3,negative,grocery,0,-2.2096047024697585,0.04237180999014868,0.41332809019796996,1,0
1,3,4,positive,grocery,1,0.45256963785525184,0.6942458098385899,0.6541017349734866,1,0
1,1,1,positive,grocery,1,0.45256963785525184,0.04237180999014868,-0.06821919935306303,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
0,4,4,negative,grocery,0,-2.2096047024697585,1.0201828097628105,0.6541017349734866,1,0
1,5,5,positive,grocery,1,0.45256963785525184,1.346119809687031,0.894875379749003,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
0,0,0,negative,grocery,0,-2.2096047024697585,-0.2835651899340719,-0.3089928441285795,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
0,0,0,negative,grocery,0,-2.2096047024697585,-0.2835651899340719,-0.3089928441285795,1,0
1,5,7,positive,grocery,1,0.45256963785525184,1.346119809687031,1.376422669300036,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
1,2,2,positive,grocery,1,0.45256963785525184,0.36830880991436926,0.17255444542245346,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
1,1,1,positive,grocery,1,0.45256963785525184,0.04237180999014868,-0.06821919935306303,1,0
0,0,0,negative,grocery,0,-2.2096047024697585,-0.2835651899340719,-0.3089928441285795,1,0
1,1,1,positive,grocery,1,0.45256963785525184,0.04237180999014868,-0.06821919935306303,1,0
1,0,1,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.06821919935306303,1,0
0,0,0,negative,grocery,0,-2.2096047024697585,-0.2835651899340719,-0.3089928441285795,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
0,0,2,negative,grocery,0,-2.2096047024697585,-0.2835651899340719,0.17255444542245346,1,0
0,0,0,negative,grocery,0,-2.2096047024697585,-0.2835651899340719,-0.3089928441285795,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
1,3,4,positive,grocery,1,0.45256963785525184,0.6942458098385899,0.6541017349734866,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
0,1,1,negative,grocery,0,-2.2096047024697585,0.04237180999014868,-0.06821919935306303,1,0
1,0,0,positive,grocery,1,0.45256963785525184,-0.2835651899340719,-0.3089928441285795,1,0
